713 ----> uni02C9	ˉ
714 ----> uni02CA	ˊ
715 ----> uni02CB	ˋ
717 ----> uni02CD	ˍ
916 ----> uni0394	Δ
937 ----> uni03A9	Ω
956 ----> uni03BC	μ
8231 ----> uni2027	‧
8245 ----> uni2035	‵
8251 ----> uni203B	※
8451 ----> uni2103	℃
8453 ----> uni2105	℅
8457 ----> uni2109	℉
8544 ----> uni2160	Ⅰ
8545 ----> uni2161	Ⅱ
8546 ----> uni2162	Ⅲ
8547 ----> uni2163	Ⅳ
8548 ----> uni2164	Ⅴ
8549 ----> uni2165	Ⅵ
8550 ----> uni2166	Ⅶ
8551 ----> uni2167	Ⅷ
8552 ----> uni2168	Ⅸ
8553 ----> uni2169	Ⅹ
8598 ----> uni2196	↖
8599 ----> uni2197	↗
8600 ----> uni2198	↘
8601 ----> uni2199	↙
8725 ----> uni2215	∕
8739 ----> uni2223	∣
8741 ----> uni2225	∥
8750 ----> uni222E	∮
8757 ----> uni2235	∵
8786 ----> uni2252	≒
8806 ----> uni2266	≦
8807 ----> uni2267	≧
8857 ----> uni2299	⊙
8895 ----> uni22BF	⊿
9581 ----> uni256D	╭
9582 ----> uni256E	╮
9583 ----> uni256F	╯
9584 ----> uni2570	╰
9585 ----> uni2571	╱
9586 ----> uni2572	╲
9587 ----> uni2573	╳
9588 ----> uni2574	╴
9601 ----> uni2581	▁
9602 ----> uni2582	▂
9603 ----> uni2583	▃
9605 ----> uni2585	▅
9606 ----> uni2586	▆
9607 ----> uni2587	▇
9609 ----> uni2589	▉
9610 ----> uni258A	▊
9611 ----> uni258B	▋
9613 ----> uni258D	▍
9614 ----> uni258E	▎
9615 ----> uni258F	▏
9620 ----> uni2594	▔
9621 ----> uni2595	▕
9651 ----> uni25B3	△
9661 ----> uni25BD	▽
9670 ----> uni25C6	◆
9671 ----> uni25C7	◇
9678 ----> uni25CE	◎
9698 ----> uni25E2	◢
9699 ----> uni25E3	◣
9700 ----> uni25E4	◤
9701 ----> uni25E5	◥
9733 ----> uni2605	★
9734 ----> uni2606	☆
12288 ----> uni3000	　
12289 ----> uni3001	、
12290 ----> uni3002	。
12291 ----> uni3003	〃
12296 ----> uni3008	〈
12297 ----> uni3009	〉
12298 ----> uni300A	《
12299 ----> uni300B	》
12300 ----> uni300C	「
12301 ----> uni300D	」
12302 ----> uni300E	『
12303 ----> uni300F	』
12304 ----> uni3010	【
12305 ----> uni3011	】
12306 ----> uni3012	〒
12308 ----> uni3014	〔
12309 ----> uni3015	〕
12317 ----> uni301D	〝
12318 ----> uni301E	〞
12321 ----> uni3021	〡
12322 ----> uni3022	〢
12323 ----> uni3023	〣
12324 ----> uni3024	〤
12325 ----> uni3025	〥
12326 ----> uni3026	〦
12327 ----> uni3027	〧
12328 ----> uni3028	〨
12329 ----> uni3029	〩
12549 ----> uni3105	ㄅ
12550 ----> uni3106	ㄆ
12551 ----> uni3107	ㄇ
12552 ----> uni3108	ㄈ
12553 ----> uni3109	ㄉ
12554 ----> uni310A	ㄊ
12555 ----> uni310B	ㄋ
12556 ----> uni310C	ㄌ
12557 ----> uni310D	ㄍ
12558 ----> uni310E	ㄎ
12559 ----> uni310F	ㄏ
12560 ----> uni3110	ㄐ
12561 ----> uni3111	ㄑ
12562 ----> uni3112	ㄒ
12563 ----> uni3113	ㄓ
12564 ----> uni3114	ㄔ
