462 ----> uni01CE	ǎ
464 ----> uni01D0	ǐ
466 ----> uni01D2	ǒ
468 ----> uni01D4	ǔ
470 ----> uni01D6	ǖ
472 ----> uni01D8	ǘ
474 ----> uni01DA	ǚ
476 ----> uni01DC	ǜ
505 ----> uni01F9	ǹ
593 ----> uni0251	ɑ
609 ----> uni0261	ɡ
713 ----> uni02C9	ˉ
916 ----> uni0394	Δ
937 ----> uni03A9	Ω
956 ----> uni03BC	μ
1025 ----> uni0401	Ё
1040 ----> uni0410	А
1041 ----> uni0411	Б
1042 ----> uni0412	В
1043 ----> uni0413	Г
1044 ----> uni0414	Д
1045 ----> uni0415	Е
1046 ----> uni0416	Ж
1047 ----> uni0417	З
1048 ----> uni0418	И
1049 ----> uni0419	Й
1050 ----> uni041A	К
1051 ----> uni041B	Л
1052 ----> uni041C	М
1053 ----> uni041D	Н
1054 ----> uni041E	О
1055 ----> uni041F	П
1056 ----> uni0420	Р
1057 ----> uni0421	С
1058 ----> uni0422	Т
1059 ----> uni0423	У
1060 ----> uni0424	Ф
1061 ----> uni0425	Х
1062 ----> uni0426	Ц
1063 ----> uni0427	Ч
1064 ----> uni0428	Ш
1065 ----> uni0429	Щ
1066 ----> uni042A	Ъ
1067 ----> uni042B	Ы
1068 ----> uni042C	Ь
1069 ----> uni042D	Э
1070 ----> uni042E	Ю
1071 ----> uni042F	Я
1072 ----> uni0430	а
1073 ----> uni0431	б
1074 ----> uni0432	в
1075 ----> uni0433	г
1076 ----> uni0434	д
1077 ----> uni0435	е
1078 ----> uni0436	ж
1079 ----> uni0437	з
1080 ----> uni0438	и
1081 ----> uni0439	й
1082 ----> uni043A	к
1083 ----> uni043B	л
1084 ----> uni043C	м
1085 ----> uni043D	н
1086 ----> uni043E	о
1087 ----> uni043F	п
1088 ----> uni0440	р
1089 ----> uni0441	с
1090 ----> uni0442	т
1091 ----> uni0443	у
1092 ----> uni0444	ф
1093 ----> uni0445	х
1094 ----> uni0446	ц
1095 ----> uni0447	ч
1096 ----> uni0448	ш
1097 ----> uni0449	щ
1098 ----> uni044A	ъ
1099 ----> uni044B	ы
1100 ----> uni044C	ь
1101 ----> uni044D	э
1102 ----> uni044E	ю
1103 ----> uni044F	я
1105 ----> uni0451	ё
7743 ----> uni1E3F	ḿ
8214 ----> uni2016	‖
8251 ----> uni203B	※
8254 ----> uni203E	‾
8451 ----> uni2103	℃
8470 ----> uni2116	№
8544 ----> uni2160	Ⅰ
8545 ----> uni2161	Ⅱ
8546 ----> uni2162	Ⅲ
8547 ----> uni2163	Ⅳ
8548 ----> uni2164	Ⅴ
8549 ----> uni2165	Ⅵ
8550 ----> uni2166	Ⅶ
8551 ----> uni2167	Ⅷ
8552 ----> uni2168	Ⅸ
8553 ----> uni2169	Ⅹ
8554 ----> uni216A	Ⅺ
8555 ----> uni216B	Ⅻ
8560 ----> uni2170	ⅰ
8561 ----> uni2171	ⅱ
8562 ----> uni2172	ⅲ
8563 ----> uni2173	ⅳ
8564 ----> uni2174	ⅴ
8565 ----> uni2175	ⅵ
8566 ----> uni2176	ⅶ
8567 ----> uni2177	ⅷ
8568 ----> uni2178	ⅸ
8569 ----> uni2179	ⅹ
8741 ----> uni2225	∥
8750 ----> uni222E	∮
8757 ----> uni2235	∵
8758 ----> uni2236	∶
8759 ----> uni2237	∷
8765 ----> uni223D	∽
8780 ----> uni224C	≌
8814 ----> uni226E	≮
8815 ----> uni226F	≯
8857 ----> uni2299	⊙
8978 ----> uni2312	⌒
9312 ----> uni2460	①
9313 ----> uni2461	②
9314 ----> uni2462	③
9315 ----> uni2463	④
9316 ----> uni2464	⑤
9317 ----> uni2465	⑥
9318 ----> uni2466	⑦
9319 ----> uni2467	⑧
9320 ----> uni2468	⑨
9321 ----> uni2469	⑩
9332 ----> uni2474	⑴
9333 ----> uni2475	⑵
9334 ----> uni2476	⑶
9335 ----> uni2477	⑷
9336 ----> uni2478	⑸
9337 ----> uni2479	⑹
9338 ----> uni247A	⑺
9339 ----> uni247B	⑻
9340 ----> uni247C	⑼
9341 ----> uni247D	⑽
9342 ----> uni247E	⑾
9343 ----> uni247F	⑿
9344 ----> uni2480	⒀
9345 ----> uni2481	⒁
9346 ----> uni2482	⒂
9347 ----> uni2483	⒃
9348 ----> uni2484	⒄
9349 ----> uni2485	⒅
9350 ----> uni2486	⒆
9351 ----> uni2487	⒇
9352 ----> uni2488	⒈
9353 ----> uni2489	⒉
9354 ----> uni248A	⒊
9355 ----> uni248B	⒋
9356 ----> uni248C	⒌
9357 ----> uni248D	⒍
9358 ----> uni248E	⒎
9359 ----> uni248F	⒏
9360 ----> uni2490	⒐
9361 ----> uni2491	⒑
9362 ----> uni2492	⒒
9363 ----> uni2493	⒓
9364 ----> uni2494	⒔
9365 ----> uni2495	⒕
9366 ----> uni2496	⒖
9367 ----> uni2497	⒗
9368 ----> uni2498	⒘
9369 ----> uni2499	⒙
9370 ----> uni249A	⒚
9371 ----> uni249B	⒛
9473 ----> uni2501	━
9475 ----> uni2503	┃
9476 ----> uni2504	┄
9477 ----> uni2505	┅
9478 ----> uni2506	┆
9479 ----> uni2507	┇
9480 ----> uni2508	┈
9481 ----> uni2509	┉
9482 ----> uni250A	┊
9483 ----> uni250B	┋
9485 ----> uni250D	┍
9486 ----> uni250E	┎
9487 ----> uni250F	┏
9489 ----> uni2511	┑
9490 ----> uni2512	┒
9491 ----> uni2513	┓
9493 ----> uni2515	┕
9494 ----> uni2516	┖
9495 ----> uni2517	┗
9497 ----> uni2519	┙
9498 ----> uni251A	┚
9499 ----> uni251B	┛
9501 ----> uni251D	┝
9502 ----> uni251E	┞
9503 ----> uni251F	┟
9504 ----> uni2520	┠
9505 ----> uni2521	┡
9506 ----> uni2522	┢
9507 ----> uni2523	┣
9509 ----> uni2525	┥
9510 ----> uni2526	┦
9511 ----> uni2527	┧
9512 ----> uni2528	┨
9513 ----> uni2529	┩
9514 ----> uni252A	┪
9515 ----> uni252B	┫
9517 ----> uni252D	┭
9518 ----> uni252E	┮
9519 ----> uni252F	┯
9520 ----> uni2530	┰
9521 ----> uni2531	┱
9522 ----> uni2532	┲
9523 ----> uni2533	┳
9525 ----> uni2535	┵
9526 ----> uni2536	┶
9527 ----> uni2537	┷
9528 ----> uni2538	┸
9529 ----> uni2539	┹
9530 ----> uni253A	┺
9531 ----> uni253B	┻
9533 ----> uni253D	┽
9534 ----> uni253E	┾
9535 ----> uni253F	┿
9536 ----> uni2540	╀
9537 ----> uni2541	╁
9538 ----> uni2542	╂
9539 ----> uni2543	╃
9540 ----> uni2544	╄
9541 ----> uni2545	╅
9542 ----> uni2546	╆
9543 ----> uni2547	╇
9544 ----> uni2548	╈
9545 ----> uni2549	╉
9546 ----> uni254A	╊
9547 ----> uni254B	╋
9651 ----> uni25B3	△
9670 ----> uni25C6	◆
9671 ----> uni25C7	◇
9678 ----> uni25CE	◎
9733 ----> uni2605	★
9734 ----> uni2606	☆
12288 ----> uni3000	　
12289 ----> uni3001	、
12290 ----> uni3002	。
12291 ----> uni3003	〃
12293 ----> uni3005	々
12295 ----> uni3007	〇
12296 ----> uni3008	〈
12297 ----> uni3009	〉
12298 ----> uni300A	《
12299 ----> uni300B	》
12300 ----> uni300C	「
12301 ----> uni300D	」
12302 ----> uni300E	『
12303 ----> uni300F	』
12304 ----> uni3010	【
12305 ----> uni3011	】
12307 ----> uni3013	〓
12308 ----> uni3014	〔
12309 ----> uni3015	〕
12310 ----> uni3016	〖
12311 ----> uni3017	〗
12353 ----> uni3041	ぁ
12354 ----> uni3042	あ
12355 ----> uni3043	ぃ
12356 ----> uni3044	い
12357 ----> uni3045	ぅ
12358 ----> uni3046	う
12359 ----> uni3047	ぇ
12360 ----> uni3048	え
12361 ----> uni3049	ぉ
12362 ----> uni304A	お
12363 ----> uni304B	か
12364 ----> uni304C	が
12365 ----> uni304D	き
12366 ----> uni304E	ぎ
12367 ----> uni304F	く
12368 ----> uni3050	ぐ
12369 ----> uni3051	け
12370 ----> uni3052	げ
12371 ----> uni3053	こ
12372 ----> uni3054	ご
12373 ----> uni3055	さ
12374 ----> uni3056	ざ
12375 ----> uni3057	し
12376 ----> uni3058	じ
12377 ----> uni3059	す
12378 ----> uni305A	ず
12379 ----> uni305B	せ
12380 ----> uni305C	ぜ
12381 ----> uni305D	そ
12382 ----> uni305E	ぞ
12383 ----> uni305F	た
12384 ----> uni3060	だ
12385 ----> uni3061	ち
12386 ----> uni3062	ぢ
12387 ----> uni3063	っ
12388 ----> uni3064	つ
12389 ----> uni3065	づ
12390 ----> uni3066	て
12391 ----> uni3067	で
12392 ----> uni3068	と
12393 ----> uni3069	ど
12394 ----> uni306A	な
12395 ----> uni306B	に
12396 ----> uni306C	ぬ
12397 ----> uni306D	ね
12398 ----> uni306E	の
12399 ----> uni306F	は
12400 ----> uni3070	ば
12401 ----> uni3071	ぱ
12402 ----> uni3072	ひ
12403 ----> uni3073	び
12404 ----> uni3074	ぴ
12405 ----> uni3075	ふ
12406 ----> uni3076	ぶ
12407 ----> uni3077	ぷ
12408 ----> uni3078	へ
12409 ----> uni3079	べ
12410 ----> uni307A	ぺ
12411 ----> uni307B	ほ
12412 ----> uni307C	ぼ
12413 ----> uni307D	ぽ
12414 ----> uni307E	ま
12415 ----> uni307F	み
12416 ----> uni3080	む
12417 ----> uni3081	め
12418 ----> uni3082	も
12419 ----> uni3083	ゃ
12420 ----> uni3084	や
12421 ----> uni3085	ゅ
12422 ----> uni3086	ゆ
12423 ----> uni3087	ょ
12424 ----> uni3088	よ
12425 ----> uni3089	ら
12426 ----> uni308A	り
12427 ----> uni308B	る
12428 ----> uni308C	れ
12429 ----> uni308D	ろ
12430 ----> uni308E	ゎ
12431 ----> uni308F	わ
12432 ----> uni3090	ゐ
12433 ----> uni3091	ゑ
12434 ----> uni3092	を
12435 ----> uni3093	ん
12449 ----> uni30A1	ァ
12450 ----> uni30A2	ア
12451 ----> uni30A3	ィ
12452 ----> uni30A4	イ
12453 ----> uni30A5	ゥ
12454 ----> uni30A6	ウ
12455 ----> uni30A7	ェ
12456 ----> uni30A8	エ
12457 ----> uni30A9	ォ
12458 ----> uni30AA	オ
12459 ----> uni30AB	カ
12460 ----> uni30AC	ガ
12461 ----> uni30AD	キ
12462 ----> uni30AE	ギ
12463 ----> uni30AF	ク
12464 ----> uni30B0	グ
12465 ----> uni30B1	ケ
